doc_id,agreement_score
235,91.91919191919192
236,88.79736408566721
237,85.23936170212765
238,88.4160756501182
239,84.21052631578947
240,87.41092636579573
241,87.12357217030114
242,86.4186046511628
243,90.0
244,92.39766081871345
245,90.94922737306842
246,88.80952380952381
247,84.60236886632826
248,89.08045977011494
249,91.07142857142857
250,90.73170731707317
251,88.81118881118881
252,90.0375939849624
254,84.9002849002849
255,70.01254705144291
256,89.49152542372882
257,89.98144712430427
258,87.4274661508704
259,94.26086956521739
260,90.23622047244095
261,85.54533508541394
262,93.36898395721926
263,89.24137931034483
264,94.87179487179486
265,89.82725527831093
266,91.78807947019868
267,87.06015891032916
268,92.7321668909825
269,87.8238341968912
270,90.19370460048425
271,91.47465437788019
272,87.37864077669903
273,85.65615462868769
274,91.6015625
275,84.6242774566474
276,91.48936170212765
277,84.65855940130963
278,85.37666174298376
279,88.37719298245614
280,88.01955990220048
281,90.1673640167364
282,88.54961832061069
283,90.44444444444444
284,93.86281588447653
285,87.14902807775377
286,89.80891719745223
287,85.13513513513513
288,89.95253164556962
289,86.51315789473685
290,90.80325960419093
291,92.20246238030096
292,91.71052631578948
293,87.85046728971963
294,92.50535331905782
295,93.202416918429
296,87.5478927203065
297,89.04220779220779
298,93.66272824919442
299,88.4318766066838
300,87.75981524249423
301,90.50715214564369
302,90.87719298245615
303,89.77853492333901
304,93.57249626307922
305,89.4357743097239
306,90.51918735891647
307,91.79954441913439
308,92.39704329461456
309,91.73469387755102
310,89.87915407854985
311,94.01993355481729
312,87.86610878661088
313,92.0651068158698
314,90.93464511595222
315,84.99234303215927
316,90.58355437665783
317,90.19417475728156
318,87.51020408163265
319,83.4850455136541
320,88.92307692307693
322,88.91941391941391
324,90.09067357512953
325,90.65637065637065
326,87.78077268643307
327,85.89830508474576
328,93.5969868173258
329,87.3405299313052
330,89.47368421052632
331,91.996699669967
332,84.08163265306122
333,87.86906290115533
334,91.23480486244402
335,90.648988136776
336,89.40936863543789
337,94.14519906323186
338,91.29734085414988
339,89.78893325727326
340,88.86158886158886
341,90.31055900621118
342,88.51351351351352
343,88.46153846153845
344,94.07051282051282
345,91.51624548736463
346,92.61460101867573
347,91.15990990990991
348,91.39855548260013
349,89.75155279503106
350,91.96550158874263
351,89.74358974358975
352,89.23303834808259
353,91.47196261682244
